Date,Austin Precipitation,Austin Temperature (max),Austin, Temperature (min),Austin Temperature(min),New York Precipitation,New York, Temperature (max),New York Temperature(max),New York, Temperature (min),New York Temperature(min),San Francisco Precipitation,San Francisco Temperature (max),San Francisco Temperature (min)
1/13/2013,0,11.7,3.3,,3.3,0,10,,10,6.1,,6.1,0,10,2.2
1/14/2013,0,9.4,1.7,,1.7,2.3,13.3,,13.3,3.3,,3.3,0,11.1,2.2
1/15/2013,1.3,5.6,1.7,,1.7,3,3.3,,3.3,1.7,,1.7,0,12.2,1.1
1/16/2013,0,12.2,,1.7,1.7,17.5,2.8,,2.8,0,,0,0,11.1,2.2
1/17/2013,0,18.9,,2.8,2.8,0,6.1,,6.1,1.7,,1.7,0,15,3.3
1/18/2013,0,18.3,,3.3,3.3,0,1.7,,1.7,,3.9,3.9,0,16.7,3.9
1/19/2013,0,20.6,,1.1,1.1,0,10.6,,10.6,,1.1,1.1,0,15.6,3.9
1/20/2013,0,22.2,0,,0,0,11.7,,11.7,,1.1,1.1,0,16.7,3.9
1/21/2013,0,22.8,2.2,,2.2,0,0,,0,,3.3,3.3,0,13.3,3.3
1/22/2013,0,22.8,2.8,,2.8,0,,2.8,2.8,,10.6,10.6,0,13.9,5
1/23/2013,0,23.9,4.4,,4.4,0,,6.7,6.7,,11.7,11.7,2.5,12.8,10
1/24/2013,0,25.6,7.2,,7.2,0,,5.6,5.6,,11.1,11.1,0,13.3,10
1/25/2013,0,26.7,12.2,,12.2,1.8,,4.4,4.4,,10.6,10.6,0,17.2,10.6
1/26/2013,0,21.1,8.9,,8.9,0,,2.8,2.8,,9.4,9.4,0,13.3,9.4
1/27/2013,0,26.7,7.8,,7.8,0,1.1,,1.1,,7.2,7.2,0,12.2,6.7
1/28/2013,0,25.6,20.6,,20.6,5.6,2.2,,2.2,,1.7,1.7,0,13.3,7.2
1/29/2013,0.5,29.4,14.4,,14.4,1.5,9.4,,9.4,2.2,,2.2,0,13.3,7.2
1/30/2013,0,15.6,,1.1,1.1,1,15,,15,3.9,,3.9,0,16.1,6.1
1/31/2013,0,20.6,,3.3,3.3,22.9,16.1,,16.1,,1.1,1.1,0,16.7,5.6
2/1/2013,0,22.2,1.7,,1.7,0,,0.6,0.6,,4.4,4.4,0,17.8,6.7
2/2/2013,0,25,1.7,,1.7,0.5,,1.7,1.7,,7.2,7.2,0,13.3,8.3
2/3/2013,0,22.2,2.2,,2.2,0.5,,1.1,1.1,,4.4,4.4,0,13.3,8.3
2/4/2013,0,24.4,8.9,,8.9,0,,1.1,1.1,,5,5,0,12.2,6.7
2/5/2013,0,26.1,6.1,,6.1,0.5,0,,0,,2.2,2.2,0,12.8,8.3
2/6/2013,1.5,24.4,13.3,,13.3,0,3.9,,3.9,,1.7,1.7,0,13.3,4.4
2/7/2013,0,27.8,15.6,,15.6,0,0,,0,,3.3,3.3,3.6,12.8,5.6
2/8/2013,0,21.1,7.2,,7.2,29.2,1.1,,1.1,,2.8,2.8,2.8,11.1,5
2/9/2013,0.8,20.6,11.1,,11.1,9.7,0,,0,,6.1,6.1,0,13.3,5
2/10/2013,3.6,20.6,12.8,,12.8,0,2.2,,2.2,,7.8,7.8,0,15,3.3
2/11/2013,8.9,14.4,10,,10,12.4,7.2,,7.2,1.1,,1.1,0,17.2,5
2/12/2013,0.5,22.2,10.6,,10.6,0,6.7,,6.7,2.2,,2.2,0,14.4,5
2/13/2013,0,17.8,2.2,,2.2,0.8,6.7,,6.7,0.6,,0.6,0,15,5
2/14/2013,0,21.7,,1.7,1.7,0,7.8,,7.8,0.6,,0.6,0,20,5.6
2/15/2013,0,17.8,0,,0,0,12.8,,12.8,2.8,,2.8,0,20,7.8
2/16/2013,0,19.4,,2.2,2.2,0.5,5,,5,,0.6,0.6,0,18.9,8.9
2/17/2013,0,21.7,0,,0,0,0,,0,,7.8,7.8,0,15,8.9
2/18/2013,0,28.3,11.7,,11.7,0,1.7,,1.7,,8.3,8.3,0,11.1,7.2
2/19/2013,0,20.6,1.1,,1.1,3.8,9.4,,9.4,0.6,,0.6,10.7,9.4,5
2/20/2013,0.8,17.2,11.7,,11.7,0,3.3,,3.3,,3.9,3.9,0,12.8,4.4
2/21/2013,0.3,26.1,5.6,,5.6,0,1.1,,1.1,,4.4,4.4,0,13.9,6.7
2/22/2013,0,14.4,5,,5,0,3.3,,3.3,,3.9,3.9,0,15.6,4.4
2/23/2013,0,22.2,1.7,,1.7,6.6,5.6,,5.6,2.2,,2.2,0,13.3,8.3
2/24/2013,0,23.9,0,,0,0.3,8.3,,8.3,1.1,,1.1,0,15.6,7.8
2/25/2013,0,18.9,8.9,,8.9,0,7.2,,7.2,0,,0,0,14.4,6.1
2/26/2013,0,20,1.7,,1.7,3.6,6.7,,6.7,1.7,,1.7,0,17.2,5
2/27/2013,0,18.3,0.6,,0.6,39.6,8.3,,8.3,2.2,,2.2,0,17.8,4.4
2/28/2013,0,17.2,1.1,,1.1,0,10.6,,10.6,3.9,,3.9,0,15.6,7.8
3/1/2013,0,21.1,,3.3,3.3,0,7.2,,7.2,2.2,,2.2,0,21.7,7.8
3/2/2013,0,17.2,0,,0,0,4.4,,4.4,,0.6,0.6,0,17.2,10.6
3/3/2013,0,23.9,,1.7,1.7,0,4.4,,4.4,,1.7,1.7,0,15,9.4
3/4/2013,0,30.6,11.7,,11.7,0,5.6,,5.6,,2.8,2.8,0,13.3,7.8
3/5/2013,0,20,0.6,,0.6,0,9.4,,9.4,,0.6,0.6,3.6,13.3,6.1
3/6/2013,0,17.8,,0.6,0.6,0,5.6,,5.6,3.3,,3.3,1.5,12.8,7.2
3/7/2013,0,23.9,0,,0,4.8,3.3,,3.3,0.6,,0.6,2,12.8,6.1
3/8/2013,1.3,20,13.9,,13.9,13.7,5.6,,5.6,,0.6,0.6,0,12.8,7.8
3/9/2013,0,23.3,16.7,,16.7,0,12.8,,12.8,1.7,,1.7,0,16.1,6.7
3/10/2013,25.7,19.4,5.6,,5.6,0,10,,10,2.2,,2.2,0,18.9,6.1
3/11/2013,0,20,2.8,,2.8,0,12.2,,12.2,4.4,,4.4,0,17.8,6.1
3/12/2013,0,25.6,,0.6,0.6,20.1,13.9,,13.9,6.1,,6.1,0,19.4,8.3
3/13/2013,0,24.4,2.8,,2.8,0,11.1,,11.1,3.3,,3.3,0,23.9,7.2
3/14/2013,0,26.1,3.9,,3.9,0,5,,5,,1.7,1.7,0,16.1,8.3
3/15/2013,0,27.2,6.7,,6.7,0,8.3,,8.3,,1.1,1.1,0,17.8,7.8
3/16/2013,0,29.4,11.1,,11.1,3,5,,5,0,,0,0,16.7,8.3
3/17/2013,0,28.9,17.8,,17.8,0,3.3,,3.3,,1.7,1.7,0,16.7,8.9
3/18/2013,0,32.2,15.6,,15.6,16.5,1.7,,1.7,,2.2,2.2,0,15.6,7.2
3/19/2013,2,28.3,6.7,,6.7,9.1,6.1,,6.1,0.6,,0.6,0.5,17.8,8.9
3/20/2013,5.3,22.2,9.4,,9.4,0,7.2,,7.2,0,,0,0.3,16.7,10
3/21/2013,0,24.4,8.9,,8.9,0,4.4,,4.4,,1.1,1.1,0,15,6.7
3/22/2013,0,29.4,12.8,,12.8,0,5,,5,,2.2,2.2,0,17.2,6.1
3/23/2013,0.5,24.4,11.1,,11.1,0,7.8,,7.8,0,,0,0,18.3,6.1
3/24/2013,0,16.1,2.8,,2.8,0,8.3,,8.3,0.6,,0.6,0,16.1,6.7
3/25/2013,0,15,0.6,,0.6,4.3,4.4,,4.4,2.2,,2.2,0,13.3,8.3
3/26/2013,0,17.8,,3.3,3.3,0,11.7,,11.7,2.8,,2.8,0,16.1,8.9
3/27/2013,0,21.7,,1.1,1.1,0,11.7,,11.7,2.2,,2.2,0,17.8,10
3/28/2013,0,23.9,10.6,,10.6,0,10.6,,10.6,2.8,,2.8,0,19.4,11.7
3/29/2013,0,26.7,10.6,,10.6,0,12.8,,12.8,4.4,,4.4,0,23.3,10
3/30/2013,0,29.4,17.8,,17.8,0,15,,15,4.4,,4.4,2,17.8,11.1
3/31/2013,0,25,13.9,,13.9,2,12.2,,12.2,6.7,,6.7,2.5,18.3,12.2
4/1/2013,0,30,12.2,,12.2,0,16.7,,16.7,2.8,,2.8,3.6,18.3,11.1
4/2/2013,65.3,23.9,12.2,,12.2,0,6.1,,6.1,0.6,,0.6,0,15.6,10
4/3/2013,11.4,13.9,10,,10,0,7.8,,7.8,0.6,,0.6,0,20,9.4
4/4/2013,0,16.1,7.2,,7.2,0,11.7,,11.7,0.6,,0.6,7.9,17.8,11.7
4/5/2013,0,22.2,2.2,,2.2,0,17.8,,17.8,5,,5,0,17.8,12.2
4/6/2013,0,27.8,10,,10,0,11.1,,11.1,1.7,,1.7,0.3,16.7,11.7
4/7/2013,0,28.9,17.2,,17.2,0,12.8,,12.8,4.4,,4.4,0.3,16.7,10
4/8/2013,0,25,19.4,,19.4,0,22.8,,22.8,10.6,,10.6,0,17.2,9.4
4/9/2013,0,30,21.7,,21.7,0,27.8,,27.8,10.6,,10.6,0,20,10
4/10/2013,3.8,23.3,7.8,,7.8,12.4,23.3,,23.3,12.8,,12.8,0,26.7,10.6
4/11/2013,0,18.9,6.7,,6.7,0,15.6,,15.6,8.3,,8.3,0,18.3,9.4
4/12/2013,0,27.2,3.9,,3.9,16,8.3,,8.3,5,,5,0,17.2,8.3
4/13/2013,0,25.6,6.7,,6.7,0.3,14.4,,14.4,5,,5,0,16.1,8.9
4/14/2013,0,30,10.6,,10.6,0,13.9,,13.9,7.8,,7.8,0,15.6,8.3
4/15/2013,0,31.1,20.6,,20.6,0,15,,15,6.7,,6.7,0,13.9,7.8
4/16/2013,0,29.4,18.3,,18.3,0,17.2,,17.2,8.3,,8.3,0,16.7,7.2
4/17/2013,0,28.9,22.8,,22.8,0.5,21.7,,21.7,12.8,,12.8,0,19.4,10
4/18/2013,9.1,24.4,11.1,,11.1,0.3,15,,15,10.6,,10.6,0,22.8,8.3
4/19/2013,0,20.6,4.4,,4.4,1.3,21.7,,21.7,12.8,,12.8,0,22.2,9.4
4/20/2013,0,22.2,0.6,,0.6,1.5,15.6,,15.6,6.1,,6.1,0,22.8,10
4/21/2013,0,25.6,6.7,,6.7,0,12.8,,12.8,2.8,,2.8,0,25.6,9.4
4/22/2013,0,28.9,8.9,,8.9,0,12.8,,12.8,5,,5,0,28.3,10.6
4/23/2013,1.5,26.1,9.4,,9.4,0,11.7,,11.7,5,,5,0,24.4,9.4
4/24/2013,0,18.3,7.2,,7.2,0,20.6,,20.6,6.7,,6.7,0,20,8.3
4/25/2013,0,21.7,12.8,,12.8,0,18.9,,18.9,7.8,,7.8,0,18.3,11.7
4/26/2013,0.5,26.7,16.1,,16.1,0,19.4,,19.4,10,,10,0,16.1,10
4/27/2013,1.5,27.2,20,,20,0,21.7,,21.7,8.9,,8.9,0,16.1,9.4
4/28/2013,0,29.4,14.4,,14.4,0,20.6,,20.6,10.6,,10.6,0,21.7,8.3
4/29/2013,48,28.3,17.2,,17.2,1,13.9,,13.9,11.1,,11.1,0,26.7,11.1
4/30/2013,0,28.3,16.1,,16.1,0,20,,20,10.6,,10.6,0,21.1,10
5/1/2013,0,30.6,18.3,,18.3,0,20.6,,20.6,8.3,,8.3,0,25.6,12.8
5/2/2013,0.3,23.3,9.4,,9.4,0,22.2,,22.2,9.4,,9.4,0,31.7,13.3
5/3/2013,0,21.1,5.6,,5.6,0,18.9,,18.9,9.4,,9.4,0,29.4,13.3
5/4/2013,0,29.4,2.8,,2.8,0,20.6,,20.6,8.9,,8.9,0,28.9,12.2
5/5/2013,0,25,7.8,,7.8,0,17.8,,17.8,7.8,,7.8,0,21.1,13.3
5/6/2013,0,24.4,7.2,,7.2,0,20.6,,20.6,7.8,,7.8,0,21.1,15
5/7/2013,0,29.4,7.2,,7.2,0,23.3,,23.3,11.1,,11.1,0,21.7,11.7
5/8/2013,0,29.4,16.1,,16.1,76.7,17.2,,17.2,12.8,,12.8,0,16.1,11.7
5/9/2013,0.3,26.1,18.9,,18.9,12.7,20,,20,12.2,,12.2,0,16.7,11.1
5/10/2013,27.2,30,16.1,,16.1,0.3,26.1,,26.1,15,,15,0,15.6,10.6
5/11/2013,0,27.8,16.1,,16.1,27.7,21.1,,21.1,16.1,,16.1,0,20.6,10.6
5/12/2013,0,27.8,11.7,,11.7,0,21.1,,21.1,10.6,,10.6,0,20.6,11.7
5/13/2013,0,28.9,8.9,,8.9,0,14.4,,14.4,7.2,,7.2,0,18.3,10.6
5/14/2013,0,30,12.2,,12.2,0,16.1,,16.1,5.6,,5.6,0,18.3,11.7
5/15/2013,0.8,30,20.6,,20.6,0,20.6,,20.6,11.1,,11.1,0,16.7,11.1
5/16/2013,0,33.9,22.2,,22.2,0,26.1,,26.1,16.7,,16.7,0,17.8,12.2
5/17/2013,0,33.9,23.3,,23.3,0,22.2,,22.2,14.4,,14.4,0,17.8,11.7
5/18/2013,0,35,21.7,,21.7,0.3,18.3,,18.3,13.3,,13.3,0,19.4,11.1
5/19/2013,0,33.3,22.2,,22.2,15.2,15,,15,12.8,,12.8,0,23.9,10.6
5/20/2013,0,33.9,22.2,,22.2,0,26.1,,26.1,14.4,,14.4,0,28.3,11.1
5/21/2013,0,32.8,20.6,,20.6,0,30,,30,20,,20,0,17.2,9.4
5/22/2013,0,33.3,13.3,,13.3,0,25.6,,25.6,15,,15,0,16.7,8.9
5/23/2013,0,32.8,23.3,,23.3,46,26.7,,26.7,17.8,,17.8,0,16.7,8.9
5/24/2013,79.5,28.9,20.6,,20.6,7.6,18.3,,18.3,7.2,,7.2,0,16.7,9.4
5/25/2013,15.2,26.7,21.1,,21.1,3.6,12.2,,12.2,7.2,,7.2,0,15.6,10
5/26/2013,6.4,30.6,21.7,,21.7,0,18.9,,18.9,8.9,,8.9,0,18.9,11.7
5/27/2013,0,32.2,20.6,,20.6,0,22.8,,22.8,10.6,,10.6,0.3,16.7,12.2
5/28/2013,0,32.2,23.3,,23.3,13.2,20,,20,13.3,,13.3,0,18.3,12.8
5/29/2013,0,31.1,23.3,,23.3,0,27.8,,27.8,14.4,,14.4,0,18.3,11.1
5/30/2013,0,32.8,24.4,,24.4,0,32.2,,32.2,22.2,,22.2,0,18.3,10.6
5/31/2013,0,33.3,25,,25,0,32.2,,32.2,23.9,,23.9,0,23.3,10
6/1/2013,0,34.4,24.4,,24.4,0,32.2,,32.2,22.8,,22.8,0,25,11.1
6/2/2013,2,30.6,18.3,,18.3,21.6,31.1,,31.1,20.6,,20.6,0,18.3,10
6/3/2013,0,33.9,16.1,,16.1,22.1,25.6,,25.6,18.9,,18.9,0,22.8,10.6
6/4/2013,0,34.4,18.3,,18.3,0,23.9,,23.9,13.9,,13.9,0,20.6,12.2
6/5/2013,0,34.4,17.8,,17.8,0,23.3,,23.3,14.4,,14.4,0,18.9,12.2
6/6/2013,0,35.6,19.4,,19.4,3.3,21.1,,21.1,15,,15,0,18.9,11.7
6/7/2013,0,30.6,17.8,,17.8,105.7,17.2,,17.2,15,,15,0,23.3,11.1
6/8/2013,0,33.3,14.4,,14.4,12.2,25,,25,13.9,,13.9,0,25.6,13.3
6/9/2013,1.5,32.2,21.1,,21.1,0,26.7,,26.7,17.2,,17.2,0,21.1,15
6/10/2013,0,35.6,19.4,,19.4,35.1,21.1,,21.1,16.7,,16.7,0,21.1,13.9
6/11/2013,0,35,21.7,,21.7,2.3,26.7,,26.7,17.8,,17.8,0,19.4,12.8
6/12/2013,0,35,22.2,,22.2,0,24.4,,24.4,18.3,,18.3,0,19.4,11.1
6/13/2013,0,35.6,22.8,,22.8,32,20.6,,20.6,12.8,,12.8,0,19.4,10.6
6/14/2013,0,33.9,22.2,,22.2,9.7,22.2,,22.2,11.7,,11.7,0,25.6,11.1
6/15/2013,0,32.8,25,,25,0,26.7,,26.7,16.1,,16.1,0,16.7,10.6
6/16/2013,0,36.1,23.9,,23.9,0,26.7,,26.7,18.3,,18.3,0,20,11.1
6/17/2013,0,36.7,25,,25,0.3,28.9,,28.9,20.6,,20.6,0,18.3,11.7
6/18/2013,1.5,35,22.2,,22.2,5.1,28.9,,28.9,17.8,,17.8,0,18.3,12.2
6/19/2013,0,36.1,22.8,,22.8,0,25,,25,15,,15,0,19.4,12.2
6/20/2013,0,36.7,22.8,,22.8,0,26.7,,26.7,16.7,,16.7,0,19.4,11.1
6/21/2013,0,36.7,23.9,,23.9,0,27.8,,27.8,17.8,,17.8,0,21.7,10.6
6/22/2013,0,36.7,23.3,,23.3,0,28.9,,28.9,18.3,,18.3,0,22.8,11.1
6/23/2013,0,36.1,23.3,,23.3,0,31.1,,31.1,21.1,,21.1,0,20,12.8
6/24/2013,0,37.8,23.9,,23.9,0,33.3,,33.3,23.3,,23.3,0.8,18.3,13.3
6/25/2013,0,37.8,25,,25,0,32.8,,32.8,22.8,,22.8,0.5,22.2,16.7
6/26/2013,0,38.3,25.6,,25.6,1.3,29.4,,29.4,23.3,,23.3,0,25.6,16.7
6/27/2013,0,38.9,24.4,,24.4,6.1,30,,30,22.8,,22.8,0,25.6,15.6
6/28/2013,0,40.6,23.9,,23.9,0,29.4,,29.4,22.8,,22.8,0,27.8,15
6/29/2013,0,41.7,22.2,,22.2,0,28.3,,28.3,21.7,,21.7,0,28.9,16.1
6/30/2013,14,35.6,22.2,,22.2,0,30,,30,22.8,,22.8,0,21.7,13.9
7/1/2013,0,32.8,19.4,,19.4,21.3,25,,25,22.2,,22.2,0,26.1,13.3
7/2/2013,0,34.4,17.2,,17.2,2,27.8,,27.8,22.2,,22.2,0,27.8,14.4
7/3/2013,0,35,15.6,,15.6,13.5,28.3,,28.3,22.8,,22.8,0,26.7,14.4
7/4/2013,0,35.6,17.2,,17.2,0,30.6,,30.6,23.9,,23.9,0,25,15
7/5/2013,0,36.7,18.3,,18.3,0,32.2,,32.2,24.4,,24.4,0,18.3,12.8
7/6/2013,0,37.2,19.4,,19.4,0,33.3,,33.3,25.6,,25.6,0,22.2,12.8
7/7/2013,0,37.8,21.7,,21.7,0,33.3,,33.3,25.6,,25.6,0,22.2,13.3
7/8/2013,0.5,33.9,24.4,,24.4,5.6,31.7,,31.7,22.8,,22.8,0,21.1,13.3
7/9/2013,0,37.2,23.3,,23.3,5.8,31.1,,31.1,23.3,,23.3,0,21.7,12.2
7/10/2013,0,37.8,21.7,,21.7,0,29.4,,29.4,23.9,,23.9,0,20.6,11.7
7/11/2013,0,37.8,22.8,,22.8,0,28.9,,28.9,24.4,,24.4,0,19.4,11.7
7/12/2013,0,38.9,22.2,,22.2,6.4,25,,25,20,,20,0,19.4,11.7
7/13/2013,0,40,21.1,,21.1,1.5,27.2,,27.2,19.4,,19.4,0,22.8,11.1
7/14/2013,0,36.1,23.3,,23.3,0,32.2,,32.2,23.3,,23.3,0,18.9,11.7
7/15/2013,7.9,28.3,21.7,,21.7,0,34.4,,34.4,25.6,,25.6,0,20.6,11.7
7/16/2013,0,35,21.7,,21.7,0,34.4,,34.4,25,,25,0,21.7,13.3
7/17/2013,16.5,33.3,22.2,,22.2,0,36.1,,36.1,26.1,,26.1,0,18.9,12.8
7/18/2013,0,35,22.2,,22.2,0,36.7,,36.7,27.2,,27.2,0,20.6,12.2
7/19/2013,0,35.6,20.6,,20.6,0,35.6,,35.6,28.3,,28.3,0,19.4,12.2
7/20/2013,0,34.4,21.7,,21.7,0,33.9,,33.9,27.2,,27.2,0,21.1,12.2
7/21/2013,1.5,35.6,22.2,,22.2,0,31.7,,31.7,24.4,,24.4,0,20,12.2
7/22/2013,0,36.7,25,,25,1.5,30,,30,23.9,,23.9,0,25.6,13.9
7/23/2013,0,37.2,25,,25,7.9,30.6,,30.6,22.8,,22.8,0,20.6,13.3
7/24/2013,0,36.1,23.9,,23.9,0,28.3,,28.3,20,,20,0,21.7,12.8
7/25/2013,0,37.8,22.8,,22.8,0.3,20,,20,17.8,,17.8,0,20,12.2
7/26/2013,9.4,37.8,23.3,,23.3,0,28.3,,28.3,18.3,,18.3,0,20,12.8
7/27/2013,0.8,31.7,23.3,,23.3,0,27.8,,27.8,21.1,,21.1,0,21.1,13.3
7/28/2013,0,36.7,23.9,,23.9,6.1,25.6,,25.6,21.1,,21.1,0,21.7,13.3
7/29/2013,0,38.3,24.4,,24.4,0.3,29.4,,29.4,20.6,,20.6,0,20.6,12.8
7/30/2013,0,38.9,24.4,,24.4,0,28.3,,28.3,19.4,,19.4,0,20,12.8
7/31/2013,0,39.4,23.9,,23.9,0,28.3,,28.3,19.4,,19.4,0,21.1,12.2
8/1/2013,0,39.4,23.9,,23.9,16.5,24.4,,24.4,18.9,,18.9,0,20,13.3
8/2/2013,0,38.9,23.3,,23.3,0,28.3,,28.3,19.4,,19.4,0,20,11.7
8/3/2013,0,38.3,23.3,,23.3,1.5,25.6,,25.6,20,,20,0,21.1,11.7
8/4/2013,0,37.8,23.9,,23.9,0,26.7,,26.7,18.9,,18.9,0,19.4,12.8
8/5/2013,0,39.4,22.2,,22.2,0,25.6,,25.6,16.7,,16.7,0,19.4,12.8
8/6/2013,0,40,23.3,,23.3,0,27.8,,27.8,17.8,,17.8,0,21.1,12.8
8/7/2013,0,40.6,25.6,,25.6,0,26.7,,26.7,21.1,,21.1,0,22.2,13.9
8/8/2013,0,40.6,25,,25,11.7,27.2,,27.2,21.1,,21.1,0,20,13.3
8/9/2013,0,39.4,22.2,,22.2,1.3,29.4,,29.4,23.3,,23.3,0,21.1,13.3
8/10/2013,0.5,40,22.2,,22.2,0,28.3,,28.3,21.1,,21.1,0,21.1,14.4
8/11/2013,0,37.8,22.8,,22.8,0,27.2,,27.2,18.3,,18.3,0,18.9,12.8
8/12/2013,0,37.8,22.2,,22.2,1.3,27.8,,27.8,21.1,,21.1,0,23.3,13.3
8/13/2013,0,38.9,25,,25,21.6,25,,25,20,,20,0,25,12.8
8/14/2013,0,39.4,24.4,,24.4,0,23.3,,23.3,16.1,,16.1,0,21.7,13.3
8/15/2013,36.3,35.6,22.2,,22.2,0,25.6,,25.6,15,,15,0,25,16.7
8/16/2013,0,36.1,22.2,,22.2,0,27.8,,27.8,17.8,,17.8,0,22.2,15
8/17/2013,0,35,20.6,,20.6,0,28.9,,28.9,17.8,,17.8,0,22.2,15
8/18/2013,0,35.6,17.8,,17.8,0,24.4,,24.4,20,,20,0,25.6,13.9
8/19/2013,0,36.1,19.4,,19.4,0,26.1,,26.1,18.9,,18.9,0,23.3,15
8/20/2013,0,35.6,19.4,,19.4,0,31.1,,31.1,20,,20,0,24.4,15
8/21/2013,0,35.6,21.7,,21.7,0,32.2,,32.2,22.2,,22.2,0,22.2,14.4
8/22/2013,0,36.7,21.1,,21.1,6.4,25.6,,25.6,21.7,,21.7,0,21.1,14.4
8/23/2013,0,36.7,21.7,,21.7,0,27.8,,27.8,21.7,,21.7,0,18.9,13.9
8/24/2013,4.3,37.8,22.8,,22.8,0,26.7,,26.7,18.3,,18.3,0,21.7,14.4
8/25/2013,0,35,22.8,,22.8,0,28.3,,28.3,17.8,,17.8,0,22.8,16.7
8/26/2013,0.8,32.2,22.8,,22.8,1,28.9,,28.9,20,,20,0,21.1,15
8/27/2013,0,30.6,21.7,,21.7,0.3,30.6,,30.6,21.7,,21.7,0,22.2,13.3
8/28/2013,0,35.6,20,,20,10.9,30,,30,21.7,,21.7,0,23.9,15
8/29/2013,0,38.3,21.1,,21.1,0,26.7,,26.7,21.7,,21.7,0,23.3,16.1
8/30/2013,0,40,22.2,,22.2,0,29.4,,29.4,21.1,,21.1,0,25.6,15.6
8/31/2013,0,38.9,22.8,,22.8,0,30,,30,22.8,,22.8,0,21.7,13.9
9/1/2013,0,37.8,22.8,,22.8,0,28.9,,28.9,23.9,,23.9,0,23.3,14.4
9/2/2013,0,38.3,22.8,,22.8,1.3,27.8,,27.8,23.3,,23.3,0,23.9,16.7
9/3/2013,0,38.9,22.2,,22.2,0.8,27.8,,27.8,20,,20,0,22.8,15.6
9/4/2013,33.3,38.3,22.8,,22.8,0,27.8,,27.8,18.3,,18.3,0,23.3,16.1
9/5/2013,0,36.1,21.7,,21.7,0,26.7,,26.7,17.8,,17.8,0,22.2,15.6
9/6/2013,0,35.6,22.2,,22.2,0,22.2,,22.2,13.9,,13.9,0,29.4,13.3
9/7/2013,26.2,36.1,22.2,,22.2,0,26.7,,26.7,15,,15,0,31.1,14.4
9/8/2013,0,32.8,21.7,,21.7,0,28.3,,28.3,17.8,,17.8,0,23.3,13.3
9/9/2013,3.6,32.2,20.6,,20.6,0,22.8,,22.8,13.9,,13.9,0,24.4,12.8
9/10/2013,1,32.8,21.7,,21.7,0.3,30.6,,30.6,20,,20,0,23.3,13.9
9/11/2013,0,33.9,22.8,,22.8,0,35.6,,35.6,25,,25,0,23.3,16.7
9/12/2013,0,34.4,20.6,,20.6,40.6,30.6,,30.6,21.1,,21.1,0,21.7,15
9/13/2013,0,35.6,20.6,,20.6,1.5,25,,25,15,,15,0,18.9,13.9
9/14/2013,0,34.4,20,,20,0,19.4,,19.4,12.2,,12.2,0,18.9,13.9
9/15/2013,0,33.9,21.7,,21.7,0,22.8,,22.8,10.6,,10.6,0,22.8,14.4
9/16/2013,0.8,33.3,22.2,,22.2,0.8,22.8,,22.8,13.3,,13.3,0,21.7,15
9/17/2013,0,33.3,22.2,,22.2,0,18.3,,18.3,10,,10,0,20,13.9
9/18/2013,0,34.4,21.7,,21.7,0,22.2,,22.2,10.6,,10.6,0,25.6,12.2
9/19/2013,0.8,34.4,23.3,,23.3,0,25.6,,25.6,12.8,,12.8,0,26.7,12.2
9/20/2013,33,27.8,22.2,,22.2,0,26.1,,26.1,15.6,,15.6,0,22.8,13.3
9/21/2013,0,28.9,15,,15,18.3,25,,25,16.1,,16.1,5.8,20,14.4
9/22/2013,0,28.9,13.3,,13.3,11.4,20.6,,20.6,12.2,,12.2,0,21.1,12.8
9/23/2013,0,32.2,12.8,,12.8,0,18.9,,18.9,10,,10,0,25.6,13.9
9/24/2013,0,35.6,16.1,,16.1,0,22.8,,22.8,8.3,,8.3,0,21.7,14.4
9/25/2013,0,35.6,17.2,,17.2,0,22.8,,22.8,11.1,,11.1,0,19.4,13.3
9/26/2013,0,32.8,16.1,,16.1,0,21.7,,21.7,14.4,,14.4,0,21.7,11.7
9/27/2013,1.5,32.8,23.9,,23.9,0,20.6,,20.6,13.9,,13.9,0,25.6,12.2
9/28/2013,11.2,33.3,23.3,,23.3,0,22.8,,22.8,13.3,,13.3,0,25.6,11.7
9/29/2013,15.7,23.9,18.9,,18.9,0,22.2,,22.2,13.9,,13.9,0,23.9,13.9
9/30/2013,0,31.1,16.1,,16.1,0,23.9,,23.9,13.3,,13.3,0,22.8,15
10/1/2013,0,32.2,16.7,,16.7,0,27.8,,27.8,15,,15,0,20.6,13.3
10/2/2013,0,32.8,23.3,,23.3,0,28.3,,28.3,17.8,,17.8,0,20.6,12.2
10/3/2013,0,32.8,23.3,,23.3,0,25.6,,25.6,17.2,,17.2,0,21.1,12.2
10/4/2013,0,32.8,21.1,,21.1,0,30,,30,18.9,,18.9,0,24.4,16.1
10/5/2013,0,31.7,16.7,,16.7,0,24.4,,24.4,17.8,,17.8,0,26.7,13.9
10/6/2013,19.3,27.2,10.6,,10.6,0,21.1,,21.1,18.3,,18.3,0,28.3,13.3
10/7/2013,0,29.4,8.3,,8.3,6.4,24.4,,24.4,15.6,,15.6,0,26.7,13.3
10/8/2013,0,28.3,9.4,,9.4,0,19.4,,19.4,12.2,,12.2,0,22.2,11.1
10/9/2013,0,28.9,9.4,,9.4,0,16.7,,16.7,11.7,,11.7,0,20,11.1
10/10/2013,0,30,13.3,,13.3,0,18.3,,18.3,12.2,,12.2,0,21.1,11.7
